French,English
partie,part
chercher,search
police,police
genre,kind
mois,month
frère,brother
laisser,let
laisse,leash
eux,them
ville,city
parlé,speak
arrivé,come
revoir,meet again
place,square
parle,speak
compris,understood
étaient,were
attention,Warning
voici,here is
pourrais,could
affaire,case
donner,give
leurs,their
donné,given
train,train
corps,body
endroit,place
façon,way
écoute,listen
trouve,find
premier,first
perdu,lost
main,hand
côté,side
vieux,old
tiens,here
tellement,so much
enfant,child
point,point
venu,came
suite,after
pardon,sorry
venez,come
devant,in front of
minutes,minutes
demandé,request
chambre,bedroom
mis,placed
droit,law
mari,husband
cause,cause
espère,hope
nouvelle,new
boulot,job
arrêter,Stop
terre,Earth
loin,far
fin,end
croire,believe
plutôt,rather
aura,will have
filles,girls
